email,company,website_domain,source_url
childrenstrust.tctplacements@nhs.net,The Children's Trust,thechildrenstrust.org.uk,https://thechildrenstrust.org.uk/
dsl@thechildrenstrust.org.uk,The Children's Trust,thechildrenstrust.org.uk,https://thechildrenstrust.org.uk/
enquiries@thechildrenstrust.org.uk,The Children's Trust,thechildrenstrust.org.uk,https://thechildrenstrust.org.uk/
placements@thechildrenstrust.org.uk,The Children's Trust,thechildrenstrust.org.uk,https://thechildrenstrust.org.uk/
pressoffice@thechildrenstrust.org.uk,The Children's Trust,thechildrenstrust.org.uk,https://thechildrenstrust.org.uk/
recruitment@thechildrenstrust.org.uk,The Children's Trust,thechildrenstrust.org.uk,https://thechildrenstrust.org.uk/
taddies@thechildrenstrust.org.uk,The Children's Trust,thechildrenstrust.org.uk,https://thechildrenstrust.org.uk/
wychwood.reception@nhs.net,Wychwood Surgery,wychwoodsurgery.co.uk,https://wychwoodsurgery.co.uk/
governors@slam.nhs.uk,South London and Maudsley NHS Foundation Trust,slam.nhs.uk,https://slam.nhs.uk/
pals@slam.nhs.uk,South London and Maudsley NHS Foundation Trust,slam.nhs.uk,https://slam.nhs.uk/
nicky@westclifflodge.co.uk,Westcliff Lodge Limited,westclifflodge.co.uk,https://westclifflodge.co.uk/
complaints.penninecare@nhs.net,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
complaints@gmmh.nhs.uk,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
healthrecords.access@nca.nhs.uk,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
library@nca.nhs.uk,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
library@pat.nhs.uk,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
library@srft.nhs.uk,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
nhsgm.patientservices@nhs.net,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
office.complaints@nca.nhs.uk,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
pals.penninecare@nhs.net,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
pals@gmmh.nhs.uk,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
referrals@cloverleaf-advocacy.co.uk,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
sar@nca.nhs.uk,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
service.interpretation@nca.nhs.uk,Northern Care Alliance NHS Foundation Trust,northerncarealliance.nhs.uk,https://northerncarealliance.nhs.uk/
comms@everyturn.org,Everyturn,mentalhealthconcern.org,http://mentalhealthconcern.org/
enquiries@everyturn.org,Everyturn,mentalhealthconcern.org,http://mentalhealthconcern.org/
recruitment@everyturn.org,Everyturn,mentalhealthconcern.org,http://mentalhealthconcern.org/
enquiries@teasdalehealth.com,Teasdale Healthcare Ltd,teasdalehealth.com,https://www.teasdalehealth.com/
hello@teasdalehealth.com,Teasdale Healthcare Ltd,teasdalehealth.com,https://www.teasdalehealth.com/
user@domain.com,Teasdale Healthcare Ltd,teasdalehealth.com,https://www.teasdalehealth.com/
berkshire.dentalclinic@nhs.net,Dr Kripa Sharmilla Radia,bdc-centre.co.uk,https://bdc-centre.co.uk/
reading@sylviancare.co.uk,Cristina's Care Ltd,sylviancare.co.uk,https://sylviancare.co.uk/
press.office@careuk.com,Care UK Community Partnerships Ltd,careuk.com,https://careuk.com/
info@pilgrimsfriend.org.uk,Pilgrims' Friend Society,pilgrimsfriend.org.uk,https://pilgrimsfriend.org.uk/
logo_pfs-square@4x.png,Pilgrims' Friend Society,pilgrimsfriend.org.uk,https://pilgrimsfriend.org.uk/
logo_pfs@2x.png,Pilgrims' Friend Society,pilgrimsfriend.org.uk,https://pilgrimsfriend.org.uk/
enquiries@minstercaregroup.co.uk,Croftwood Care UK Limited,minstercaregroup.co.uk,https://minstercaregroup.co.uk/
john.smith@hello.com,Croftwood Care UK Limited,minstercaregroup.co.uk,https://minstercaregroup.co.uk/
recruitment@amicura.co.uk,Croftwood Care UK Limited,minstercaregroup.co.uk,https://minstercaregroup.co.uk/
recruitment@minstercaregroup.co.uk,Croftwood Care UK Limited,minstercaregroup.co.uk,https://minstercaregroup.co.uk/
bluebellmanor@lifestyle-care.co.uk,Lifestyle Care (North East) Opco Limited,lifestyle-care.co.uk,https://lifestyle-care.co.uk/
blythgatemanor@lifestyle-care.co.uk,Lifestyle Care (North East) Opco Limited,lifestyle-care.co.uk,https://lifestyle-care.co.uk/
eastsidegardens@lifestyle-care.co.uk,Lifestyle Care (North East) Opco Limited,lifestyle-care.co.uk,https://lifestyle-care.co.uk/
info@westhillcarehome.com,West Hill Care Home LTD,westhillcarehome.com,https://westhillcarehome.com/
care-home-catering-awards-2024-finalists@2x-320x274.jpg,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
care-home-catering-awards-2024-finalists@2x.jpg,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
cc-awards-2025-winners@2x-960x935.png,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
cc-contact-bg@2x-1920x1080.jpg,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
cc-contact-bg@2x-960x540.jpg,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
cc-header-home-01@2x-1920x1079.jpg,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
cc-header-home-01@2x-960x540.jpg,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
cc-video-holding-image-01@2x.jpg,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
cinnamon_emerson_park_img_5870@2x-scaled.jpg,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
cinnamon_emerson_park_img_5870@2x-scaled.jpg.webp,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
eastcote-park-luxury-retirement-apartments-01@2x.jpg,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
eastcote-park-luxury-retirement-apartments-01@2x.jpg.webp,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
eden-ext-02@2x.jpg,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
eden-ext-02@2x.jpg.webp,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
napa-awards-2024@2x-302x320.png,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
napa-awards-2024@2x.png,Hagley Care Limited,cinnamoncc.com,https://cinnamoncc.com/
info.navigo@nhs.net,NAViGO Health and Social Care CIC,navigocare.co.uk,https://navigocare.co.uk/
acorn_2024@2x-59x75.png,Acorn Recovery Projects,acornrecovery.org.uk,https://acornrecovery.org.uk/
acorn_2024@2x.png,Acorn Recovery Projects,acornrecovery.org.uk,https://acornrecovery.org.uk/
contact@acornrecovery.org.uk,Acorn Recovery Projects,acornrecovery.org.uk,https://acornrecovery.org.uk/
contact@calico.org.uk,Acorn Recovery Projects,acornrecovery.org.uk,https://acornrecovery.org.uk/
info@fastmedica.co.uk,Fast Medica Ltd,fastmedica.co.uk,https://fastmedica.co.uk/
lisa@limahomecare.com,Lima Homecare Limited,limahomecare.com,https://limahomecare.com/
emmafield2025@outlook.com,HomesCare Ltd,homescare.co.uk,https://homescare.co.uk/
procurement@kingsleyhealthcare.co.uk,Hestia Healthcare Properties Limited,kingsleyhealthcare.co.uk,https://kingsleyhealthcare.co.uk/
enquiries@surecare.co.uk,The Colne Valley Care Company Limited,surecare.co.uk,https://surecare.co.uk/
home@2x.png,The Colne Valley Care Company Limited,surecare.co.uk,https://surecare.co.uk/
surecare@2x.png,The Colne Valley Care Company Limited,surecare.co.uk,https://surecare.co.uk/
