company,unique_domains,domains_sample
Care UK Community Partnerships Ltd,15,amberleylodgepurley.co.uk; care.com; careuk.com; cumberlandmitcham.co.uk; darlingtoncourtrustington.co.uk; farmlanefulham.co.uk; forrestercourtpaddington.co.uk; grevillehouserichmond.co.uk; heaverscourtcroydon.co.uk; jubileehousegodalming.co.uk; lennoxhouseislington.co.uk; manorlodgechelmsford.co.uk; stvincentshousehammersmith.co.uk; tiltwoodcobham.co.uk; whitbydeneeastcote.co.uk
Dentex Clinical Limited,11,advancedentalclinic.com; essexdentist.co.uk; finndentalspecialists.com; gavinismydentist.com; lincolnorthodontics.co.uk; moorcaredental.com; scarsdaledental.co.uk; shinedentalcare.co.uk; smilemoredentalcare.com; theperfectsmile.co.uk; thrapstondentists.co.uk
Oasis Dental Care Limited,10,611dental.co.uk; beestondental.co.uk; bishopaucklanddental.co.uk; forsythhousedental.co.uk; gilesgatedental.co.uk; heckmondwikedental.co.uk; holdernessroaddental.co.uk; morecombedental.co.uk; roytondental.co.uk; walkerscourtdental.co.uk
Portman Healthcare Limited,8,ashbydental.co.uk; cr-dp.co.uk; garstangdrp.co.uk; hawkinswilson.co.uk; portmanhealthcare.co.uk; smilesbetter.co.uk; thecosmeticdentalclinic.com; whitehalldentalpractice.co.uk
Our Health Partnership,7,birmingham-doctors.co.uk; collegeroadsurgery.co.uk; greenridgesurgery.co.uk; ourhealthpartnership.com; themeadowsmedicalpractice.co.uk; woodgatevalley.co.uk; yardleywoodhc.co.uk
AT Medics Limited,6,camdenhubs.co.uk; canberraoldoaksurgery.co.uk; kingsroadgp.co.uk; randolphsurgery.co.uk; silverlockmedicalcentre.co.uk; stannsroadsurgery.co.uk
Dr Don Jude Mahadanaarachchi,6,bousfieldhealthcentre.nhs.uk; bousfieldsurgery.nhs.uk; drjuderiversideandpicton.nhs.uk; firtreemc.nhs.uk; gillmossmedicalcentre.nhs.uk; sandringhammc.nhs.uk
HCA International Limited,5,iseh.co.uk; londonbridgehospital.com; theharleystreetclinic.com; thelisterhospital.com; thewellingtonhospital.com
Mountain Healthcare Limited,5,beechhousesarc.org; casasuite.org.uk; saturncentre.org; topazcentre.org; westmidsregionalcypsas.co.uk
Rodericks Dental Partners Limited,5,beaumonthousedental.co.uk; mackworthdental.co.uk; oundlehousedental.co.uk; rugbydental.co.uk; stonydental.co.uk
Acer Healthcare Operations Limited,4,appletreecourtcarehome.co.uk; chestnut-courtcarehome.co.uk; highfieldprivatecarehome.co.uk; parkviewhousecarehome.co.uk
Modality Partnership,4,bcfp.co.uk; modalitypartnership.nhs.uk; stjohnsmedicalcentrewalsall.nhs.uk; wellspringsurgerynottingham.co.uk
North Cumbria Primary Care Limited,4,edenmedicalgroup.co.uk; fellviewhealthcare.nhs.uk; jamesstreet-workington.nhs.uk; lowthermedical.co.uk
Oasis Dental Care (Southern) Limited,4,greenlawnsdental.co.uk; newchurchroaddental.co.uk; rayleighdental.co.uk; thefivewaysdentalpractice.co.uk
The Village Dental Practice,4,culchethvillagedental.co.uk; grangedentalcentre.co.uk; villagedentalpractice.co.uk; westlandsdentalstudio.co.uk
Willow Tower Opco 1 Limited,4,averyhealthcare.co.uk; signature-care-homes.co.uk; sunrise-care.co.uk; sunrise.care.co.uk
Achieve Together Limited,3,achievetogether.co.uk; dehealthcare.co.uk; rnid.org.uk
Community Integrated Care,3,c-i-c.co.uk; communityintegratedcare.co.uk; lot-uk.org.uk
Dentex Assets Limited,3,ameryhouse.com; heatondental.co.uk; kgcdentalpractice.co.uk
Diagrama Healthcare Services Limited,3,cabrini.org.uk; diagramafoundation.org; diagramafoundation.org.uk
Gensmile Dental Care Limited,3,dental100.com; norfolkhousedentalcare.co.uk; smileforlife.co.uk
Healthcare Homes Group Limited,3,haughgatehouse.co.uk; healthcarehomes.co.uk; theoldvicarage-leigh.co.uk
JK Healthcare Limited,3,kingfisherscarehome.co.uk; manorbarncarehome.co.uk; sohalhealthcare.co.uk
Mr Ravi Nathwani,3,ashbournedentalpractice.co.uk; kedlestondental.com; msdental.co.uk
Oasis Dental Care (Central) Limited,3,salemoordentist.co.uk; sandringhamroaddental.co.uk; thayerstreetdental.co.uk
Park Homes (UK) Limited,3,c-i-c.co.uk; each-step.co.uk; parkhomesuk.co.uk
