market,propertyName,city,country,contactRole,email,phone,website,sourceUrl,verificationStatus
UK,Carmelite Hotel,Aberdeen,United Kingdom,Property,info@carmelitehotels.com,01224 589101,https://www.carmelitehotels.com,https://www.carmelitehotels.com/contact,verified
UK,Leonardo Hotel Aberdeen,Aberdeen,United Kingdom,Property,aberdeen@leonardohotels.com,,https://www.leonardo-hotels.com,https://www.leonardo-hotels.com/aberdeen/leonardo-hotel-aberdeen/faq,verified
UK,Leonardo Hotel Aberdeen Airport,Aberdeen,United Kingdom,Property,aberdeenairport@leonardohotels.com,,https://www.leonardo-hotels.com,https://www.leonardo-hotels.com/aberdeen/leonardo-hotel-and-conference-venue-aberdeen-airport/faq,verified
UK,Leonardo Inn Aberdeen Airport,Aberdeen,United Kingdom,Property,aberdeenairportreservations@leonardohotels.co.uk,,https://www.leonardo-hotels.com,https://www.leonardo-hotels.com/aberdeen/leonardo-inn-hotel-aberdeen-airport/faq,verified
UK,Malmaison Aberdeen,Aberdeen,United Kingdom,Decision maker,groupsdesk@malmaison.com,+44 1224 507 097,https://www.malmaison.com,https://www.malmaison.com/contact-us/,verified
UK,Malmaison Aberdeen,Aberdeen,United Kingdom,Property,aberdeen@malmaison.com,+44 1224 507 097,https://www.malmaison.com,https://www.malmaison.com/contact-us/,verified
UK,The Chester Hotel,Aberdeen,United Kingdom,Property,enquiries@chester-hotel.com,,https://www.chester-hotel.com,https://www.chester-hotel.com/contact,verified
UK,Royal Berkshire,Ascot,United Kingdom,Property,royalberkshire@exclusive.co.uk,,https://www.exclusive.co.uk/royal-berkshire/,https://www.exclusive.co.uk/royal-berkshire/,verified
UK,Ashford International Hotel,Ashford,United Kingdom,Property,ashfordinternationalhotelspa@theqhotelscollection.co.uk,,https://www.ashfordhotel.co.uk,https://www.ashfordhotel.co.uk/,verified
UK,Ashford International Hotel,Ashford,United Kingdom,Sales,events@ashfordinternationalhotel.com,,https://www.ashfordhotel.co.uk,https://www.ashfordhotel.co.uk/,verified
UK,Three Horseshoes Asthall,Asthall,United Kingdom,Property,guest.services@threehorseshoesasthall.com,,https://www.threehorseshoesasthall.com,https://www.threehorseshoesasthall.com/contact/,verified
UK,Gleneagles Hotel,Auchterarder,United Kingdom,Sales,playground.planners@gleneagles.com,,https://www.gleneagles.com,https://www.gleneagles.com/contact-us/,verified
UK,Pennyhill Park,Bagshot,United Kingdom,Property,pennyhillpark@exclusive.co.uk,,https://www.exclusive.co.uk/pennyhill-park/,https://www.exclusive.co.uk/pennyhill-park/,verified
UK,The Hampshire Court Hotel,Basingstoke,United Kingdom,Property,hampshirecourthotel@theqhotelscollection.co.uk,,https://www.thehampshirecourthotel.co.uk,https://www.thehampshirecourthotel.co.uk/,verified
UK,The Hampshire Court Hotel,Basingstoke,United Kingdom,Sales,events@thehampshirecourthotel.co.uk,,https://www.thehampshirecourthotel.co.uk,https://www.thehampshirecourthotel.co.uk/,verified
UK,Fischer's Baslow Hall,Baslow,United Kingdom,Property,sales@fischer.co.uk,,https://www.fischer.co.uk,https://www.fischer.co.uk/contact/,verified
UK,Abbey Hotel Bath,Bath,United Kingdom,Property,reception@abbeyhotelbath.co.uk,,https://www.abbeyhotelbath.co.uk,https://www.abbeyhotelbath.co.uk/contact/,verified
UK,Abbey Hotel Bath,Bath,United Kingdom,Reservations,reservations@abbeyhotelbath.co.uk,,https://www.abbeyhotelbath.co.uk,https://www.abbeyhotelbath.co.uk/contact/,verified
UK,Apex City of Bath Hotel,Bath,United Kingdom,Decision maker,apex.groups@apexhotels.co.uk,+44 1225 418 500,https://www.apexhotels.co.uk,https://www.apexhotels.co.uk/contact-us,verified
UK,Apex City of Bath Hotel,Bath,United Kingdom,Property,bath.reservations@apexhotels.co.uk,+44 1225 418 500,https://www.apexhotels.co.uk,https://www.apexhotels.co.uk/contact-us,verified
UK,Lucknam Park Hotel & Spa,Bath,United Kingdom,Decision maker,lp.general.manager@lucknampark.co.uk,,https://www.lucknampark.co.uk,https://www.lucknampark.co.uk/contact/,verified
UK,Lucknam Park Hotel & Spa,Bath,United Kingdom,Sales,lp.head.of.sales@lucknampark.co.uk,,https://www.lucknampark.co.uk,https://www.lucknampark.co.uk/contact/,verified
UK,No. 15 Bath by GuestHouse,Bath,United Kingdom,Decision maker,no15.reservations@guesthousehotels.co.uk,+44 1225 807015,https://guesthousehotels.co.uk/no-15-bath/,https://guesthousehotels.co.uk/no-15-bath/,verified
UK,No.15 by Guesthouse,Bath,United Kingdom,Property,no15.reception@guesthousehotels.co.uk,,https://www.guesthousehotels.co.uk,https://www.guesthousehotels.co.uk/contact/,verified
UK,THE PIG near Bath,Bath,United Kingdom,Property,reservations@thepighotel.com,0345 225 9494,https://www.thepighotel.com/near-bath/,https://www.thepighotel.com/contact-us/,verified
UK,The Bath Priory,Bath,United Kingdom,Property,info@thebathpriory.co.uk,,https://www.thebathpriory.co.uk,https://www.thebathpriory.co.uk/contact/,verified
UK,The Gainsborough Bath Spa,Bath,United Kingdom,Decision maker,reservations@thegainsboroughbathspa.co.uk,+44 1225 358 888,https://www.thegainsboroughbathspa.co.uk,https://www.thegainsboroughbathspa.co.uk/,verified
UK,The Queensberry Hotel,Bath,United Kingdom,Property,reservations@thequeensberry.co.uk,,https://www.thequeensberry.co.uk,https://www.thequeensberry.co.uk/contact-us/,verified
UK,The Royal Crescent Hotel & Spa,Bath,United Kingdom,Property,info@royalcrescent.co.uk,,https://www.royalcrescent.co.uk,https://www.royalcrescent.co.uk/contact/,verified
UK,The Z Hotel Bath,Bath,United Kingdom,Property,bath@thezhotels.com,+44 (0) 1225 613160,https://www.thezhotels.com/hotels/bath/,https://www.thezhotels.com/hotels/bath/,verified
UK,Bullitt Hotel,Belfast,United Kingdom,Property,info@bullitthotel.com,028 9590 0600,https://bullitthotel.com,https://bullitthotel.com/contact,verified
UK,Bullitt Hotel,Belfast,United Kingdom,Sales,events@bullitthotel.com,028 9590 0600,https://bullitthotel.com,https://bullitthotel.com/contact,verified
UK,Leonardo Hotel Belfast,Belfast,United Kingdom,Property,belfast@leonardohotels.com,,https://www.leonardo-hotels.com,https://www.leonardo-hotels.com/belfast/leonardo-hotel-belfast/faq,verified
UK,Malmaison Belfast,Belfast,United Kingdom,Decision maker,groupsdesk@malmaison.com,+44 28 9600 1405,https://www.malmaison.com,https://www.malmaison.com/contact-us/,verified
UK,Malmaison Belfast,Belfast,United Kingdom,Property,belfast@malmaison.com,+44 28 9600 1405,https://www.malmaison.com,https://www.malmaison.com/contact-us/,verified
UK,Room2 Belfast,Belfast,United Kingdom,Property,belfast@staysecondnature.com,,https://www.room2.com,https://www.staysecondnature.com/contact,verified
UK,Ten Square Hotel,Belfast,United Kingdom,Property,reservations@tensquare.co.uk,,https://www.tensquare.co.uk,https://www.tensquare.co.uk/contact,verified
UK,The Merchant Hotel,Belfast,United Kingdom,Property,info@themerchanthotel.com,028 9026 2710,https://www.themerchanthotel.com,https://www.themerchanthotel.com/contact-us,verified
UK,Titanic Hotel Belfast,Belfast,United Kingdom,Property,info@titanichotelbelfast.com,028 9508 2000,https://www.titanichotelbelfast.com,https://www.titanichotelbelfast.com/contact-us,verified
UK,Hillscourt Hotel,Birmingham,United Kingdom,Property,info@hillscourt.co.uk,0121 457 6100,https://www.hillscourt.co.uk,https://www.hillscourt.co.uk/contact,verified
UK,Hillscourt Hotel,Birmingham,United Kingdom,Reservations,accommodation@hillscourt.co.uk,0121 457 6100,https://www.hillscourt.co.uk,https://www.hillscourt.co.uk/contact,verified
UK,Hillscourt Hotel,Birmingham,United Kingdom,Sales,functions@hillscourt.co.uk,0121 457 6100,https://www.hillscourt.co.uk,https://www.hillscourt.co.uk/contact,verified
UK,Hotel Holloway,Birmingham,United Kingdom,Property,info@hotelholloway.co.uk,,https://hotelholloway.co.uk,https://hotelholloway.co.uk/contact,verified
UK,Hotel du Vin Birmingham,Birmingham,United Kingdom,Decision maker,groupsdesk@hotelduvin.com,+44 121 794 3005,https://www.hotelduvin.com,https://www.hotelduvin.com/contact-us/,verified
UK,Hotel du Vin Birmingham,Birmingham,United Kingdom,Property,info.birmingham@hotelduvin.com,+44 121 794 3005,https://www.hotelduvin.com,https://www.hotelduvin.com/contact-us/,verified
UK,Leonardo Royal Hotel Birmingham,Birmingham,United Kingdom,Property,birminghamroyal@leonardohotels.com,,https://www.leonardo-hotels.com,https://www.leonardo-hotels.com/birmingham/leonardo-royal-hotel-birmingham/faq,verified
UK,Malmaison Birmingham,Birmingham,United Kingdom,Decision maker,groupsdesk@malmaison.com,+44 121 794 3004,https://www.malmaison.com,https://www.malmaison.com/contact-us/,verified
UK,Malmaison Birmingham,Birmingham,United Kingdom,Property,birmingham@malmaison.com,+44 121 794 3004,https://www.malmaison.com,https://www.malmaison.com/contact-us/,verified
UK,Devonshire Hotels & Restaurants,Bolton Abbey,United Kingdom,Property,res@boltonabbeyescapes.co.uk,,https://www.devonshirehotels.co.uk,https://www.devonshirehotels.co.uk/contact/,verified
UK,Dalhousie Castle,Bonnyrigg,United Kingdom,Property,info@dalhousiecastle.co.uk,,https://www.dalhousiecastle.co.uk,https://www.dalhousiecastle.co.uk/about/faqs/,verified
UK,Leonardo Hotel Bradford,Bradford,United Kingdom,Property,jurysinnbradford@leonardohotels.co.uk,,https://www.leonardo-hotels.com,https://www.leonardo-hotels.com/bradford/leonardo-hotel-bradford/faq,verified
UK,Monkey Island Estate,Bray-on-Thames,United Kingdom,Decision maker,events@monkeyislandestate.co.uk,,https://www.monkeyislandestate.co.uk,https://www.monkeyislandestate.co.uk/,verified
UK,Monkey Island Estate,Bray-on-Thames,United Kingdom,Property,reservations@monkeyislandestate.co.uk,,https://www.monkeyislandestate.co.uk,https://www.monkeyislandestate.co.uk/,verified
UK,Artist Residence Brighton,Brighton,United Kingdom,Property,brighton@artistresidence.co.uk,,https://www.artistresidence.co.uk,https://www.artistresidence.co.uk/termsandconditions,verified
UK,Drakes Hotel Brighton,Brighton,United Kingdom,Decision maker,richard.hayes@drakeshotel.com,+44 1273 696934,https://drakeshotel.com,https://drakeshotel.com/contact/,verified
UK,Drakes Hotel Brighton,Brighton,United Kingdom,Property,stay@drakeshotel.com,+44 1273 696934,https://drakeshotel.com,https://drakeshotel.com/contact/,verified
UK,Drakes Hotel Brighton,Brighton,United Kingdom,Sales,sales@curioushotels.com,+44 1273 696934,https://drakeshotel.com,https://drakeshotel.com/contact/,verified
UK,Hotel du Vin Brighton,Brighton,United Kingdom,Decision maker,groupsdesk@hotelduvin.com,+44 1273 855 221,https://www.hotelduvin.com,https://www.hotelduvin.com/contact-us/,verified
UK,Hotel du Vin Brighton,Brighton,United Kingdom,Property,reception.brighton@hotelduvin.com,+44 1273 855 221,https://www.hotelduvin.com,https://www.hotelduvin.com/contact-us/,verified
UK,Leonardo Hotel Brighton,Brighton,United Kingdom,Property,brighton@leonardohotels.com,,https://www.leonardo-hotels.com,https://www.leonardo-hotels.com/brighton/leonardo-hotel-brighton/faq,verified
UK,Leonardo Royal Hotel Brighton Waterfront,Brighton,United Kingdom,Property,brightonroyal@leonardohotels.com,,https://www.leonardo-hotels.com,https://www.leonardo-hotels.com/brighton/leonardo-royal-hotel-brighton-waterfront/faq,verified
UK,Malmaison Brighton,Brighton,United Kingdom,Decision maker,groupsdesk@malmaison.com,+44 1273 041 482,https://www.malmaison.com,https://www.malmaison.com/contact-us/,verified
UK,Malmaison Brighton,Brighton,United Kingdom,Property,info@malmaison.com,+44 1273 041 482,https://www.malmaison.com,https://www.malmaison.com/contact-us/,verified
UK,No. 124 Brighton by GuestHouse,Brighton,United Kingdom,Decision maker,no124.events@guesthousehotels.co.uk,,https://guesthousehotels.co.uk,https://guesthousehotels.co.uk/no-124-brighton/,verified
