market,propertyName,city,country,contactRole,email,phone,website,sourceUrl,verificationStatus
US,Graduate Ann Arbor,Ann Arbor,United States,Property,info@graduateannarbor.com,734 769 2200,https://graduatehotels.com/ann-arbor,https://info.graduatehotels.com/emails/live-at-ann-arbor,verified
US,Graduate Ann Arbor,Ann Arbor,United States,Sales,sales@graduatehotels.com,734 769 2200,https://graduatehotels.com/ann-arbor,https://info.graduatehotels.com/emails/live-at-ann-arbor,verified
US,Graduate Annapolis,Annapolis,United States,Property,info@graduateannapolis.com,410 263 7777,https://graduatehotels.com/annapolis,https://info.graduatehotels.com/emails/live-at-annapolis,verified
US,Graduate Athens,Athens,United States,Property,info@graduateathens.com,706 549 7020,https://graduatehotels.com/athens,https://info.graduatehotels.com/emails/live-at-athens,verified
US,Blueground Atlanta,Atlanta,United States,Property,cx-atl@theblueground.com,,https://www.theblueground.com,https://www.theblueground.com/contact,verified
US,Hotel Clermont,Atlanta,United States,Decision maker,abigail@hotelclermont.com,470-485-0485,https://hotelclermont.com/,https://www.hotelclermont.com/hotel-policy,verified
US,Hotel Clermont,Atlanta,United States,Property,frontdesk@hotelclermont.com,470-485-0485,https://hotelclermont.com/,https://www.hotelclermont.com/hotel-policy,verified
US,The Georgian Terrace Hotel,Atlanta,United States,Sales,sales@thegeorgianterrace.com,404-897-1991,https://thegeorgianterrace.com/,https://thegeorgianterrace.com/weddings/,verified
US,Arrive Austin,Austin,United States,Property,austin@arrivehotels.com,,https://www.arrivehotels.com/austin,https://www.arrivehotels.com/hotels/austin,verified
US,Arrive Austin,Austin,United States,Sales,austinsales@arrivehotels.com,,https://www.arrivehotels.com/austin,https://www.arrivehotels.com/hotels/austin,verified
US,Austin Motel,Austin,United States,Property,reservations@austinmotel.com,,https://www.austinmotel.com,https://www.bunkhousehotels.com/austin-motel/contact,verified
US,Austin Proper Hotel,Austin,United States,Decision maker,atxp.info@properhotel.com,+1 512 628 1500,https://www.properhotel.com/austin/,https://www.northstarmeetingsgroup.com/Meeting-Event-Venues/Austin/Convention-Hotel/Austin-Proper-Hotel-p53205326,verified
US,Blueground Austin,Austin,United States,Property,cx-austin@theblueground.com,,https://www.theblueground.com,https://www.theblueground.com/contact,verified
US,Blueground Austin,Austin,United States,Sales,sales-atx@theblueground.com,,https://www.theblueground.com,https://www.theblueground.com/contact,verified
US,Carpenter Hotel,Austin,United States,Property,reservations@thecarpenterhotel.com,512-682-5300,https://thecarpenterhotel.com/,https://carpenterhotelshop.com/pages/contact-us,verified
US,Frame Hotel Austin,Austin,United States,Property,info@framehotel.com,,https://framehotel.com,https://framehotel.com/contact,verified
US,Frame Hotel Austin,Austin,United States,Reservations,stay@framehotel.com,,https://framehotel.com,https://framehotel.com/contact,verified
