propertyName,propertyType,city,country,address,website,sourceUrl,phone,propertyEmail,decisionMakerName,decisionMakerTitle,decisionMakerEmail,salesEmail,reservationsEmail,emailVerified,emailSource,verificationStatus,verificationMethod
The Norfolk Mead Hotel,Boutique hotel,Norwich,United Kingdom,,https://www.norfolkmead.co.uk,https://www.norfolkmead.co.uk/contact-us,,info@norfolkmead.co.uk,,,,,,True,official_website,verified,Published on official website contact page
Morston Hall,Boutique hotel,Holt,United Kingdom,,https://morstonhall.com,https://morstonhall.com/contact-us/,,reception@morstonhall.com,,,,,,True,official_website,verified,Published on official website contact page
Canterbury Cathedral Lodge,Boutique hotel,Canterbury,United Kingdom,,https://www.canterburycathedrallodge.org,https://www.canterburycathedrallodge.org/contact/,,stay@canterburycathedrallodge.org,,,,events@canterburycathedrallodge.org,,True,official_website,verified,Published on official website contact page
The Maids Head Hotel,Hotel,Norwich,United Kingdom,,https://www.maidsheadhotel.co.uk,https://www.maidsheadhotel.co.uk/contact-us/,,reservations@maidsheadhotel.co.uk,,,,sales@maidsheadhotel.co.uk,,True,official_website,verified,Published on official website contact page
University Arms Cambridge,Hotel,Cambridge,United Kingdom,,https://www.universityarms.com,https://www.universityarms.com/contact/,,enquiries@universityarms.com,,,,,reservations@universityarms.com,True,official_website,verified,Published on official website contact page
The Varsity Hotel & Spa,Boutique hotel,Cambridge,United Kingdom,,https://www.thevarsityhotel.co.uk,https://www.thevarsityhotel.co.uk/contact-us/,,info@thevarsityhotel.co.uk,,,,,,True,official_website,verified,Published on official website contact page
Gonville Hotel,Hotel,Cambridge,United Kingdom,,https://www.gonvillehotel.co.uk,https://www.gonvillehotel.co.uk/contact,,info.gonvillehotel@radissonindividuals.com,,,bentley@gonvillehotel.co.uk,sales@gonvillehotel.co.uk,,True,official_website,verified,Published on official website contact page
Lensfield Hotel,Boutique hotel,Cambridge,United Kingdom,,https://www.lensfieldhotel.co.uk,https://www.lensfieldhotel.co.uk/contact/,,enquiries@lensfieldhotel.co.uk,,,,,,True,official_website,verified,Published on official website contact page
The Queensberry Hotel,Boutique hotel,Bath,United Kingdom,,https://www.thequeensberry.co.uk,https://www.thequeensberry.co.uk/contact-us/,,reservations@thequeensberry.co.uk,,,,,,True,official_website,verified,Published on official website contact page
The Bath Priory,Boutique hotel,Bath,United Kingdom,,https://www.thebathpriory.co.uk,https://www.thebathpriory.co.uk/contact/,,info@thebathpriory.co.uk,,,,,,True,official_website,verified,Published on official website contact page
The Royal Crescent Hotel & Spa,Hotel,Bath,United Kingdom,,https://www.royalcrescent.co.uk,https://www.royalcrescent.co.uk/contact/,,info@royalcrescent.co.uk,,,,,,True,official_website,verified,Published on official website contact page
Lucknam Park Hotel & Spa,Boutique hotel,Bath,United Kingdom,,https://www.lucknampark.co.uk,https://www.lucknampark.co.uk/contact/,,lp.head.of.sales@lucknampark.co.uk,,General Manager,lp.general.manager@lucknampark.co.uk,lp.head.of.sales@lucknampark.co.uk,,True,official_website,verified,Published on official website contact page
Abbey Hotel Bath,Boutique hotel,Bath,United Kingdom,,https://www.abbeyhotelbath.co.uk,https://www.abbeyhotelbath.co.uk/contact/,,reception@abbeyhotelbath.co.uk,,,,,reservations@abbeyhotelbath.co.uk,True,official_website,verified,Published on official website contact page
Glenmoriston Town House Hotel,Boutique hotel,Inverness,United Kingdom,,https://www.glenmoristontownhouse.com,https://www.glenmoristontownhouse.com/contact/,,sales@glenmoristontownhouse.com,,,,,,True,official_website,verified,Published on official website contact page
Bunchrew House Hotel,Boutique hotel,Inverness,United Kingdom,,https://www.bunchrewhousehotel.com,https://www.bunchrewhousehotel.com/contact/,,welcome@bunchrewhousehotel.com,,,,,,True,official_website,verified,Published on official website contact page
Park Plaza Cardiff,Hotel,Cardiff,United Kingdom,,https://www.parkplazacardiff.com,https://www.parkplazacardiff.com/contact/,,reception@parkplazacardiff.com,,,,eventsales1@parkplazacardiff.com,,True,official_website,verified,Published on official website contact page
Bullitt Hotel,Boutique hotel,Belfast,United Kingdom,,https://www.bullitthotel.com,https://www.bullitthotel.com/contact/,,events@bullitthotel.com,,,,events@bullitthotel.com,,True,official_website,verified,Published on official website contact page
Jesmond Dene House,Boutique hotel,Newcastle,United Kingdom,,https://www.jesmonddenehouse.co.uk,https://www.jesmonddenehouse.co.uk/contact/,,info@jesmonddenehouse.co.uk,,,,,,True,official_website,verified,Published on official website contact page
Hope Street Hotel,Boutique hotel,Liverpool,United Kingdom,,https://www.hopestreethotel.co.uk,https://www.hopestreethotel.co.uk/contact/,,sleep@hopestreethotel.co.uk,,,,,,True,official_website,verified,Published on official website contact page
Staycentral,Aparthotel,Liverpool,United Kingdom,,https://www.staycentral.co.uk,https://www.staycentral.co.uk/contact/,,reception@staycentral.co.uk,,,,,,True,official_website,verified,Published on official website contact page
Stock Exchange Hotel,Boutique hotel,Manchester,United Kingdom,,https://www.stockexchangehotel.co.uk,https://www.stockexchangehotel.co.uk/contact-us/,,info@stockexchangehotel.co.uk,,,,events@stockexchangehotel.co.uk,reservations@stockexchangehotel.co.uk,True,official_website,verified,Published on official website contact page
