propertyName,propertyType,city,country,address,website,sourceUrl,phone,propertyEmail,decisionMakerName,decisionMakerTitle,decisionMakerEmail,salesEmail,reservationsEmail,emailVerified,emailSource,verificationStatus,verificationMethod
The Marlton Hotel,Boutique hotel,New York,United States,,https://www.marltonhotel.com,https://www.marltonhotel.com/contact,,press@marltonhotel.com,,,,,reservations@marltonhotel.com,True,official_website,verified,Published on official website contact page
The High Line Hotel,Boutique hotel,New York,United States,,https://www.thehighlinehotel.com,https://thehighlinehotel.com/contact/,,info@thehighlinehotel.com,,,,,,True,official_website,verified,Published on official website contact page
The Lucerne Hotel,Hotel,New York,United States,,https://www.thelucernehotel.com,https://thelucernehotel.com/contact,,reservations@thelucernehotel.com,,,,sales@thelucernehotel.com,,True,official_website,verified,Published on official website contact page
The Chatwal,Boutique hotel,New York,United States,,https://www.thechatwalny.com,https://www.thechatwalny.com/contact/,,concierge@thechatwalny.com,,,,,reservations@thechatwalny.com,True,official_website,verified,Published on official website contact page
Hotel Hugo,Boutique hotel,New York,United States,,https://www.hotelhugony.com,https://www.hotelhugony.com/contact,,reservations@hotelhugony.com,,,,sales@hotelhugony.com,frontdesk@hotelhugony.com,True,official_website,verified,Published on official website contact page
The Shoreham Hotel,Boutique hotel,New York,United States,,https://www.shorehamhotel.com,https://www.shorehamhotel.com/contact-us,,frontoffice@shorehamhotel.com,,,,,reservations@shorehamhotelnyc.com,True,official_website,verified,Published on official website contact page
Hotel Elysee,Boutique hotel,New York,United States,,https://www.elyseehotel.com,https://elyseehotel.com/,,info@elyseehotel.com,,,,,,True,official_website,verified,Published on official website contact page
The Michelangelo New York,Boutique hotel,New York,United States,,https://www.michelangelohotel.com,https://www.michelangelohotel.com/contact,,reservations@michelangelohotel.com,,,,,,True,official_website,verified,Published on official website contact page
AKA Times Square,Serviced apartment,New York,United States,,https://www.stayaka.com/aka-times-square,https://www.stayaka.com/aka-times-square,,timessquare@stayaka.com,,,,,,True,official_website,verified,Published on official website contact page
AKA Sutton Place,Serviced apartment,New York,United States,,https://www.stayaka.com/aka-sutton-place,https://www.stayaka.com/aka-sutton-place,,suttonplace@stayaka.com,,,,,,True,official_website,verified,Published on official website contact page
AKA Central Park,Serviced apartment,New York,United States,,https://www.stayaka.com/aka-central-park,https://www.stayaka.com/aka-central-park,,centralpark@stayaka.com,,,,,,True,official_website,verified,Published on official website contact page
Hotel Per La,Boutique hotel,Los Angeles,United States,,https://www.hotelperla.com,https://hotelperla.com/,,info@hotelperla.com,,,,,,True,official_website,verified,Published on official website contact page
Hotel Erwin,Boutique hotel,Los Angeles,United States,,https://www.hotelerwin.com,https://www.hotelerwin.com/,,sales@hotelerwin.com,,,,,,True,official_website,verified,Published on official website contact page
Kimpton La Peer Hotel,Boutique hotel,West Hollywood,United States,,https://www.lapeerhotel.com,https://www.lapeerhotel.com/contact/,,info@lapeerhotel.com,,,,,,True,official_website,verified,Published on official website contact page
Palihotel Melrose,Boutique hotel,Los Angeles,United States,,https://www.palisociety.com/hotels/melrose,https://www.palisociety.com/hotels/melrose,,info@pali-hotel.com,,,,socalsales@palisociety.com,,True,official_website,verified,Published on official website contact page
Palihouse West Hollywood,Boutique hotel,West Hollywood,United States,,https://www.palisociety.com/hotels/west-hollywood,https://www.palisociety.com/hotels/west-hollywood,,info@palihousewh.com,,,,,,True,official_website,verified,Published on official website contact page
Neighborhood Hotels,Boutique hotel,Los Angeles,United States,,https://www.theneighborhoodhotel.com,https://www.theneighborhoodhotel.com/,,info@nbhdhotels.com,,,,,,True,official_website,verified,Published on official website contact page
Hotel Zoe Fisherman's Wharf,Boutique hotel,San Francisco,United States,,https://www.hotelzoesf.com,https://www.hotelzoesf.com/contact/,,info@hotelzoesf.com,,,,,,True,official_website,verified,Published on official website contact page
Hotel Emblem San Francisco,Boutique hotel,San Francisco,United States,,https://www.hotelemblem.com,https://www.hotelemblem.com/,,sales@hotelemblem.com,,,,,,True,official_website,verified,Published on official website contact page
Galleria Park Hotel,Boutique hotel,San Francisco,United States,,https://www.galleriapark.com,https://www.galleriapark.com/contact-us,,info@galleriapark.com,,,,,guestservices@galleriapark.com,True,official_website,verified,Published on official website contact page
Chancellor Hotel on Union Square,Hotel,San Francisco,United States,,https://www.chancellorhotel.com,https://www.chancellorhotel.com/contact,,info@chancellorhotel.com,,,,,reservations@chancellorhotel.com,True,official_website,verified,Published on official website contact page
Hotel Triton,Boutique hotel,San Francisco,United States,,https://www.hoteltriton.com,https://www.hoteltriton.com/contact-us,,reservations@hoteltriton.com,,,,sales@hoteltriton.com,,True,official_website,verified,Published on official website contact page
Circa 39 Hotel,Boutique hotel,Miami Beach,United States,,https://www.circa39.com,https://www.circa39.com/contact/,,info@circa39.com,,,,sales@circa39.com,frontdesk@circa39.com,True,official_website,verified,Published on official website contact page
The Palms Hotel & Spa,Boutique hotel,Miami Beach,United States,,https://www.thepalmshotel.com,https://www.thepalmshotel.com/contact-us,,concierge@thepalmshotel.com,,,,sales@thepalmshotel.com,reservations@thepalmshotel.com,True,official_website,verified,Published on official website contact page
Chesterfield Hotel South Beach,Boutique hotel,Miami Beach,United States,,https://www.thechesterfieldhotel.com,https://www.thechesterfieldhotel.com/contact,,bookings@miamibeachhotelgroup.com,,,,sales@miamibeachhotelgroup.com,,True,official_website,verified,Published on official website contact page
Whitelaw Hotel,Boutique hotel,Miami Beach,United States,,https://www.whitelawhotel.com,https://www.whitelawhotel.com/contact,,bookings@southbeachgroup.com,,,,sales@southbeachgroup.com,,True,official_website,verified,Published on official website contact page
Oceanside Hotel Miami Beach,Boutique hotel,Miami Beach,United States,,https://www.oceansidehotelmiamibeach.com,https://www.oceansidehotelmiamibeach.com/contact,,reception@oceansidehotelmiamibeach.com,,,,sales@oceansidehotelmiamibeach.com,reservations@oceansidehotelmiamibeach.com,True,official_website,verified,Published on official website contact page
The Gwen,Boutique hotel,Chicago,United States,,https://www.thegwenchicago.com,https://www.thegwenchicago.com/,,info@thegwenhotel.com,,,,,,True,official_website,verified,Published on official website contact page
Hotel EMC2,Boutique hotel,Chicago,United States,,https://www.hotelemc2.com,https://www.hotelemc2.com/contact,,info@hotelemc2.com,,,,sales@hotelemc2.com,,True,official_website,verified,Published on official website contact page
Publishing House Bed and Breakfast,Boutique hotel,Chicago,United States,,https://www.publishinghousebnb.com,https://www.publishinghousebnb.com/,,info@publishinghousebnb.com,,,,events@publishinghousebnb.com,,True,official_website,verified,Published on official website contact page
Hotel Saint Cecilia,Boutique hotel,Austin,United States,,https://www.hotelsaintcecilia.com,https://www.bunkhousehotels.com/hotel-saint-cecilia/contact,,reservations@hotelsaintcecilia.com,,,,sales@hotelsaintcecilia.com,,True,official_website,verified,Published on official website contact page
Hotel San José,Boutique hotel,Austin,United States,,https://www.sanjosehotel.com,https://www.bunkhousehotels.com/hotel-san-jose/contact,,hsj.reservations@bunkhousegroup.com,,,,sales@bunkhousegroup.com,,True,official_website,verified,Published on official website contact page
Austin Motel,Boutique hotel,Austin,United States,,https://www.austinmotel.com,https://www.bunkhousehotels.com/austin-motel/contact,,reservations@austinmotel.com,,,,,,True,official_website,verified,Published on official website contact page
Hotel ZaZa Austin,Boutique hotel,Austin,United States,,https://www.hotelzaza.com/austin,https://www.hotelzaza.com/contact,,austin@hotelzaza.com,,,,,,True,official_website,verified,Published on official website contact page
Heywood Hotel,Boutique hotel,Austin,United States,,https://www.heywoodhotel.com,https://www.heywoodhotel.com/,,hey@heywoodhotel.com,,,,,,True,official_website,verified,Published on official website contact page
Arrive Austin,Boutique hotel,Austin,United States,,https://www.arrivehotels.com/austin,https://www.arrivehotels.com/hotels/austin,,austin@arrivehotels.com,,,,austinsales@arrivehotels.com,,True,official_website,verified,Published on official website contact page
Frame Hotel Austin,Boutique hotel,Austin,United States,,https://framehotel.com,https://framehotel.com/contact,,info@framehotel.com,,,,,stay@framehotel.com,True,official_website,verified,Published on official website contact page
Mayflower Park Hotel,Boutique hotel,Seattle,United States,,https://www.mayflowerpark.com,https://www.mayflowerpark.com/contact-us/,,mayflowerpark@mayflowerpark.com,,,,salesstaff@mayflowerpark.com,frontdesk1@mayflowerpark.com,True,official_website,verified,Published on official website contact page
Hotel Ballard,Boutique hotel,Seattle,United States,,https://www.hotelballardseattle.com,https://www.hotelballardseattle.com/contact,,reservations@hotelballard.com,,,,sales@hotelballard.com,,True,official_website,verified,Published on official website contact page
Inn at the Market,Boutique hotel,Seattle,United States,"86 Pine Street, Seattle, WA 98101",https://www.innatthemarket.com,https://www.innatthemarket.com/pike-place-market-hotel/contact/,,info@innatthemarket.com,Shelley Wooten,General Manager,swooten@innatthemarket.com,jbaty@innatthemarket.com,,True,official_website,verified,Published on official website contact page
Palihotel Seattle,Boutique hotel,Seattle,United States,,https://www.palisociety.com/hotels/seattle,https://www.palisociety.com/hotels/seattle,,info@palihotelseattle.com,,,,sales@palihotelseattle.com,,True,official_website,verified,Published on official website contact page
MarQueen Hotel,Boutique hotel,Seattle,United States,,https://www.marqueen.com,https://www.marqueen.com/contact,,guestservices@marqueen.com,,,,,,True,official_website,verified,Published on official website contact page
The Lenox Hotel,Boutique hotel,Boston,United States,,https://www.lenoxhotel.com,https://www.lenoxhotel.com/contact/,,reservations@lenoxhotel.com,,,,,,True,official_website,verified,Published on official website contact page
The Liberty Hotel,Boutique hotel,Boston,United States,,https://www.libertyhotel.com,https://libertyhotel.com/contact-us/,,pr@libertyhotel.com,,,,sales@libertyhotel.com,,True,official_website,verified,Published on official website contact page
Harborside Inn,Boutique hotel,Boston,United States,,https://www.harborsideinnboston.com,https://www.harborsideinnboston.com/contact,,info@harborsideinnboston.com,,,,,,True,official_website,verified,Published on official website contact page
The Godfrey Hotel Boston,Boutique hotel,Boston,United States,,https://www.godfreyhotelboston.com,https://www.godfreyhotelboston.com/,,info@godfreyhotelboston.com,,,,,,True,official_website,verified,Published on official website contact page
The Hay-Adams,Boutique hotel,Washington DC,United States,,https://www.hayadams.com,https://www.hayadams.com/contact,,sales@hayadams.com,,,,,,True,official_website,verified,Published on official website contact page
Tabard Inn,Boutique hotel,Washington DC,United States,,https://www.tabardinn.com,https://www.tabardinn.com/contact/,,hotel@tabardinn.com,,,,,,True,official_website,verified,Published on official website contact page
Eaton DC,Boutique hotel,Washington DC,United States,,https://www.eatonworkshop.com/dc,https://www.eatonworkshop.com/contact-us,,eatondc@eatonworkshop.com,,,,etwdc.sales@eatonworkshop.com,reservationsdc@eatonworkshop.com,True,official_website,verified,Published on official website contact page
AKA White House,Serviced apartment,Washington DC,United States,,https://www.stayaka.com/aka-white-house,https://www.stayaka.com/aka-white-house,,dc@stayaka.com,,,,,,True,official_website,verified,Published on official website contact page
Placemakr,Serviced apartment,Washington DC,United States,,https://www.placemakr.com,https://www.placemakr.com/contact-us,,info@placemakr.com,,,,,,True,official_website,verified,Published on official website contact page
The Brown Palace Hotel,Hotel,Denver,United States,,https://www.brownpalace.com,https://www.brownpalace.com/contact,,info@brownpalace.com,,,,,reservations@brownpalace.com,True,official_website,verified,Published on official website contact page
Limelight Hotel Denver,Boutique hotel,Denver,United States,,https://www.limelighthotels.com/denver,https://www.limelighthotels.com/denver,,reservations@limelighthotels.com,,,,,,True,official_website,verified,Published on official website contact page
The Curtis Denver,Boutique hotel,Denver,United States,,https://www.thecurtis.com,https://www.thecurtis.com/,,info@thecurtis.com,,,,,,True,official_website,verified,Published on official website contact page
The Joseph Nashville,Boutique hotel,Nashville,United States,,https://www.thejosephnashville.com,https://www.thejosephnashville.com/contact,,info@thejosephnashville.com,,,,sales@thejosephnashville.com,concierge@thejosephnashville.com,True,official_website,verified,Published on official website contact page
Hutton Hotel,Boutique hotel,Nashville,United States,,https://www.huttonhotel.com,https://www.huttonhotel.com/contact,,communications@huttonhotel.com,,,,sales@huttonhotel.com,reservations@huttonhotel.com,True,official_website,verified,Published on official website contact page
The Pontchartrain Hotel,Boutique hotel,New Orleans,United States,,https://www.thepontchartrainhotel.com,https://thepontchartrainhotel.com/contact/,,customerservice@thepontchartrainhotel.com,,,,,,True,official_website,verified,Published on official website contact page
Columns Hotel,Boutique hotel,New Orleans,United States,,https://www.thecolumns.com,https://thecolumns.com/contact/,,info@thecolumns.com,,,,events@thecolumns.com,reservations@thecolumns.com,True,official_website,verified,Published on official website contact page
International House Hotel,Boutique hotel,New Orleans,United States,,https://www.ihhotel.com,https://www.ihhotel.com/contact,,info@ihhotel.com,,,,,,True,official_website,verified,Published on official website contact page
Henry Howard Hotel,Boutique hotel,New Orleans,United States,,https://www.henryhowardhotel.com,https://www.henryhowardhotel.com/contact/,,info@henryhowardhotel.com,,,generalmanager@henryhowardhotel.com,,,True,official_website,verified,Published on official website contact page
Hotel Lucia,Boutique hotel,Portland,United States,,https://www.hotellucia.com,https://www.hotellucia.com/,,info@hotellucia.com,,,,,,True,official_website,verified,Published on official website contact page
Woodlark Hotel,Boutique hotel,Portland,United States,,https://www.woodlarkhotel.com,https://www.woodlarkhotel.com/contact/,,hello@woodlarkhotel.com,,,,sales@woodlarkhotel.com,reservations@woodlarkhotel.com,True,official_website,verified,Published on official website contact page
The Society Hotel Portland,Boutique hotel,Portland,United States,,https://www.thesocietyhotel.com,https://thesocietyhotel.com/contact/,,portland@thesocietyhotel.com,,,,,frontdesk@thesocietyhotel.com,True,official_website,verified,Published on official website contact page
Jupiter Hotel,Boutique hotel,Portland,United States,,https://www.jupiterhotel.com,https://www.jupiterhotel.com/contact,,info@jupiterhotel.com,,,,sales@jupiterhotel.com,,True,official_website,verified,Published on official website contact page
Sentinel Hotel,Boutique hotel,Portland,United States,,https://www.sentinelhotel.com,https://www.sentinelhotel.com/contact,,info@sentinelhotel.com,,,,,,True,official_website,verified,Published on official website contact page
Hi-Lo Hotel,Boutique hotel,Portland,United States,,https://www.hi-lo-hotel.com,https://www.hi-lo-hotel.com/contact-us,,info@hi-lo-hotel.com,,,,,,True,official_website,verified,Published on official website contact page
KEX Hotel Portland,Boutique hotel,Portland,United States,,https://www.kexhotels.com/portland,https://www.kexhotels.com/contact-us,,info@kexportland.com,,,,,,True,official_website,verified,Published on official website contact page
The Pearl Hotel,Boutique hotel,San Diego,United States,,https://www.thepearlsd.com,https://www.thepearlsd.com/contact,,info@thepearlsd.com,,,,,,True,official_website,verified,Published on official website contact page
Tower23 Hotel,Boutique hotel,San Diego,United States,,https://www.t23hotel.com,https://www.t23hotel.com/,,reserve23@t23hotel.com,,,,,,True,official_website,verified,Published on official website contact page
The Guild Hotel San Diego,Boutique hotel,San Diego,United States,,https://www.theguildhotel.com,https://theguildhotel.com/contact/,,info@theguildhotel.com,,,,sales@theguildhotel.com,,True,official_website,verified,Published on official website contact page
Pantai Inn,Boutique hotel,La Jolla,United States,,https://www.pantai.com,https://pantai.com/,,stay@pantai.com,,,,events@pantai.com,,True,official_website,verified,Published on official website contact page
Morris House Hotel,Boutique hotel,Philadelphia,United States,,https://www.morrishousehotel.com,https://www.morrishousehotel.com/location-contact,,info@morrishousehotel.com,,,,,,True,official_website,verified,Published on official website contact page
Penn's View Hotel,Boutique hotel,Philadelphia,United States,,https://www.pennsviewhotel.com,https://www.pennsviewhotel.com/contact,,reservations@pennsviewhotel.com,,,,,,True,official_website,verified,Published on official website contact page
Hotel ZaZa Dallas,Boutique hotel,Dallas,United States,,https://www.hotelzaza.com/dallas,https://www.hotelzaza.com/contact,,dallasuptown@hotelzaza.com,,,,,,True,official_website,verified,Published on official website contact page
The Joule Dallas,Boutique hotel,Dallas,United States,,https://www.thejouledallas.com,https://www.thejouledallas.com/contact,,reservations@thejouledallas.com,,,,,,True,official_website,verified,Published on official website contact page
Lorenzo Hotel,Boutique hotel,Dallas,United States,,https://www.lorenzohotel.com,https://lorenzohotel.com/,,info@lorenzohotel.com,,,,,,True,official_website,verified,Published on official website contact page
Kimpton Pittman Hotel,Boutique hotel,Dallas,United States,,https://www.pittmanhoteldallas.com,https://www.pittmanhoteldallas.com/contact-us/,,talktous@pittmanhoteldallas.com,,,,,frontdesk@pittmanhoteldallas.com,True,official_website,verified,Published on official website contact page
Hotel Swexan,Boutique hotel,Dallas,United States,,https://www.hotelswexan.com,https://hotelswexan.com/contact-us/,,info@hotelswexan.com,,,,,,True,official_website,verified,Published on official website contact page
Hotel ZaZa Houston Memorial City,Boutique hotel,Houston,United States,,https://www.hotelzaza.com/houston,https://www.hotelzaza.com/contact,,houstonmemorial@hotelzaza.com,,,,,,True,official_website,verified,Published on official website contact page
Hotel ZaZa Houston Museum District,Boutique hotel,Houston,United States,,https://www.hotelzaza.com/houston,https://www.hotelzaza.com/contact,,houstonmuseumdistrict@hotelzaza.com,,,,,,True,official_website,verified,Published on official website contact page
Charming Inns of Charleston,Boutique hotel,Charleston,United States,,https://charminginns.com,https://charminginns.com/contact-us/,,info@charminginns.com,,,gsevers@charminginns.com,,,True,official_website,verified,Published on official website contact page
John Rutledge House Inn,Boutique hotel,Charleston,United States,,https://johnrutledgehouseinn.com,https://johnrutledgehouseinn.com/contact-us/,,jrh-concierge@charminginns.com,,,,,,True,official_website,verified,Published on official website contact page
Fulton Lane Inn,Boutique hotel,Charleston,United States,,https://fultonlaneinn.com,https://fultonlaneinn.com/contact-us/,,fli-concierge@charminginns.com,,,,,,True,official_website,verified,Published on official website contact page
Kings Courtyard Inn,Boutique hotel,Charleston,United States,,https://kingscourtyardinn.com,https://kingscourtyardinn.com/contact-us/,,kci-concierge@charminginns.com,,,,,,True,official_website,verified,Published on official website contact page
Planters Inn Charleston,Boutique hotel,Charleston,United States,,https://www.plantersinn.com,https://www.plantersinn.com/,,reservations@plantersinn.com,,,,,,True,official_website,verified,Published on official website contact page
The Vendue,Boutique hotel,Charleston,United States,,https://www.thevendue.com,https://www.thevendue.com/contact/,,info@thevendue.com,,,,,res@thevendue.com,True,official_website,verified,Published on official website contact page
The Spectator Hotel,Boutique hotel,Charleston,United States,,https://www.thespectatorhotel.com,https://www.thespectatorhotel.com/contact,,info@thespectatorhotel.com,,,,,,True,official_website,verified,Published on official website contact page
HarbourView Inn,Boutique hotel,Charleston,United States,,https://www.harbourviewinn.com,https://www.harbourviewinn.com/contact,,info@harbourviewinn.com,,,becky@harbourviewinn.com,,,True,official_website,verified,Published on official website contact page
Market Pavilion Hotel,Boutique hotel,Charleston,United States,,https://www.marketpavilion.com,https://www.marketpavilion.com/contact.cfm,,info@marketpavilion.com,,,,,,True,official_website,verified,Published on official website contact page
The Dewberry Charleston,Boutique hotel,Charleston,United States,,https://www.thedewberrycharleston.com,https://www.thedewberrycharleston.com/contact,,guestservices@dewberryhotels.com,,,,,reservations@dewberryhotels.com,True,official_website,verified,Published on official website contact page
Hotel Emeline,Boutique hotel,Charleston,United States,,https://hotelemeline.com,https://hotelemeline.com/,,hello@hotelemeline.com,,,,,,True,official_website,verified,Published on official website contact page
21c Museum Hotel Cincinnati,Boutique hotel,Cincinnati,United States,,https://www.21cmuseumhotels.com/cincinnati,https://21cmuseumhotels.com/contact-us/,,cincy.team@21chotels.com,,,,,,True,official_website,verified,Published on official website contact page
21c Museum Hotel Louisville,Boutique hotel,Louisville,United States,,https://www.21cmuseumhotels.com/louisville,https://21cmuseumhotels.com/contact-us/,,lou.team@21chotels.com,,,,,,True,official_website,verified,Published on official website contact page
21c Museum Hotel Durham,Boutique hotel,Durham,United States,,https://www.21cmuseumhotels.com/durham,https://21cmuseumhotels.com/contact-us/,,dur.team@21chotels.com,,,,,,True,official_website,verified,Published on official website contact page
21c Museum Hotel Bentonville,Boutique hotel,Bentonville,United States,,https://www.21cmuseumhotels.com/bentonville,https://21cmuseumhotels.com/contact-us/,,bville.reservations@21chotels.com,,,,,,True,official_website,verified,Published on official website contact page
21c Museum Hotel Lexington,Boutique hotel,Lexington,United States,,https://www.21cmuseumhotels.com/lexington,https://21cmuseumhotels.com/contact-us/,,lex.team@21chotels.com,,,,,,True,official_website,verified,Published on official website contact page
AKA Beverly Hills,Serviced apartment,Beverly Hills,United States,,https://www.stayaka.com/aka-beverly-hills,https://www.stayaka.com/aka-beverly-hills,,beverlyhills@stayaka.com,,,,,,True,official_website,verified,Published on official website contact page
Mint House / Kasa,Aparthotel,United States,United States,,https://www.minthouse.com,https://kasa.com/get-help,,reservations@kasa.com,,,,,,True,official_website,verified,Published on official website contact page
